ratio product,selection probability
0.4883785833208704,0.1708
0.2894095308568121,0.3112
0.5455369656650908,0.2019
1.3186810326435368,0.1135
0.9849972991175251,0.1043
2.380951864495275,0.035
2.380951864495275,0.0347
2.380951864495275,0.0365
2.380951864495275,0.0407
2.380951864495275,0.0344
2.380951864495275,0.0365
2.380951864495275,0.0345
1.23040493867085,0.2662
0.9190589015920592,0.1679
0.1702962082361757,0.8658
2.2215644726001456,0.0737
2.2215644726001456,0.0692
2.2215644726001456,0.0713
2.2215644726001456,0.0759
2.2215644726001456,0.0753
2.2215644726001456,0.0709
2.2215644726001456,0.0651
0.3232811648385723,0.4621
1.4109344382194222,0.0909
1.4109344382194222,0.0933
1.4109344382194222,0.0915
1.4109344382194222,0.0911
1.4109344382194222,0.0922
1.4109344382194222,0.094
1.4109344382194222,0.0889
0.4751105761351116,0.2852
0.985769920197835,0.0891
1.779862355912758,0.0532
0.9197798013164068,0.1257
4.014304383937604,0.0264
2.549518760607314,0.0281
2.549518760607314,0.0317
2.549518760607314,0.0274
1.101141510858026,0.0949
1.101141510858026,0.096
1.101141510858026,0.0939
1.101141510858026,0.0944
1.101141510858026,0.0945
2.6616975860740353,0.0372
2.6616975860740353,0.0342
2.6616975860740353,0.0355
4.805842863744786,0.0014
4.805842863744786,0.0025
4.805842863744786,0.0015
1.0274281039889936,0.1369
1.0274281039889936,0.1316
1.0274281039889936,0.1394
2.483516312196064,0.0496
2.483516312196064,0.0478
2.483516312196064,0.0492
2.483516312196064,0.0513
2.483516312196064,0.0521
2.483516312196064,0.0508
2.483516312196064,0.0513
2.483516312196064,0.0502
2.483516312196064,0.0478
2.483516312196064,0.052
2.483516312196064,0.0538
1.8550785210912384,0.0664
1.8550785210912384,0.0638
1.8550785210912384,0.0648
4.484126674798449,0.0009
4.484126674798449,0.001
4.484126674798449,0.0012
4.484126674798449,0.0013
4.484126674798449,0.0013
4.484126674798449,0.0011
4.484126674798449,0.0017
4.484126674798449,0.0015
4.484126674798449,0.0013
4.484126674798449,0.0018
4.484126674798449,0.0018
4.484126674798449,0.0005
4.484126674798449,0.0017
4.484126674798449,0.0011
4.484126674798449,0.0013
4.484126674798449,0.0012
4.484126674798449,0.0008
4.484126674798449,0.0016
4.484126674798449,0.0012
4.484126674798449,0.0016
4.484126674798449,0.0011
4.484126674798449,0.0021
4.484126674798449,0.0009
4.484126674798449,0.001
0.6525283027306821,0.1703
1.577302273229058,0.0723
1.577302273229058,0.0727
1.577302273229058,0.0709
1.577302273229058,0.0701
1.577302273229058,0.0776
1.577302273229058,0.072
1.1781761021526205,0.0772
1.1781761021526205,0.0782
2.8479068822191325,0.0081
2.8479068822191325,0.0081
2.8479068822191325,0.0079
2.8479068822191325,0.0076
2.8479068822191325,0.0084
2.8479068822191325,0.0073
2.8479068822191325,0.0094
2.8479068822191325,0.0079
3.1856236913788383,0.021
0.2800548300113265,0.4438
