ratio product,selection probability
0.7277792789363973,0.3487
1.4924613582809945,0.2656
0.5354249860883376,0.3133
0.43370671950045986,0.669
0.37797435844387905,0.7299
0.8085532413544289,0.3116
0.8085532413544289,0.303
4.0917676457866206,0.006
1.616237099975636,0.1516
3.314427172286365,0.0089
3.314427172286365,0.0095
3.314427172286365,0.0098
3.314427172286365,0.0098
3.314427172286365,0.0096
2.888515274784832,0.0264
2.888515274784832,0.0281
2.888515274784832,0.026
2.888515274784832,0.0285
1.1890606833909836,0.1433
1.0362635134479874,0.14
0.9631668705789435,0.2469
0.9631668705789435,0.2401
0.9631668705789435,0.2546
0.9631668705789435,0.2345
0.9631668705789435,0.2471
0.4334250917605245,1.0
0.4334250917605245,1.0
1.795618237293602,0.0157
1.795618237293602,0.0149
1.564876956559255,0.0327
0.9108113216537129,0.6969
0.7377784015726464,0.7141
1.148704912051649,0.2832
1.148704912051649,0.2786
1.148704912051649,0.2767
1.9077906141676508,0.0602
2.355656093713106,0.141
2.355656093713106,0.1362
2.355656093713106,0.1397
2.355656093713106,0.1374
2.355656093713106,0.1423
1.2361063727512311,0.5767
2.0529485956804074,0.2568
2.0529485956804074,0.2522
0.8450986849388024,0.245
0.8450986849388024,0.2468
0.2143971423373502,0.8064
0.2143971423373502,0.8018
0.6845496340704751,0.6219
1.2761961035171001,0.2374
1.112201821615869,0.321
0.7787999797648545,0.3165
0.5497808850092785,0.7801
1.1760774419700781,0.3514
1.024948649910155,0.4415
0.20339915116260543,0.8366
0.3791941318102859,0.6064
0.6398686267456515,0.3745
0.5183085030165826,0.4775
0.9662751377666291,0.3028
1.2676480274082038,0.4758
0.36837634984511897,0.7648
0.6867587664969719,0.5017
0.5985086061645107,0.5621
0.6328819615781427,0.5695
0.6328819615781427,0.5825
2.2481579656981157,0.0837
2.2481579656981157,0.0934
1.9592642367726574,0.1184
0.6533108618268028,0.5127
0.5693588380364987,0.5452
0.23809551408799026,1.0
0.2939898878220612,1.0
1.5036087130089473,0.0666
0.9863957012216741,0.0797
1.2179581066913967,0.1043
1.2179581066913967,0.1034
0.6391110236520868,0.5361
6.163603483346652,0.0004
6.163603483346652,0.0002
5.371565547805489,0.0009
5.371565547805489,0.0004
1.5636741564989576,0.6311
2.43460662522757,0.1224
4.992662495251659,0.0005
4.992662495251659,0.0
4.992662495251659,0.0002
4.992662495251659,0.0001
4.992662495251659,0.0004
4.351093305040577,0.0014
4.351093305040577,0.0025
4.351093305040577,0.0027
4.351093305040577,0.0033
1.7911326361862063,0.1075
0.4544010369313209,0.7114
0.4544010369313209,0.6965
1.4508591866543281,0.1924
0.8060096862837928,1.0
0.3183716356066822,1.0
0.6528866339944476,1.0
2.704816055119855,0.0008
2.704816055119855,0.0012
2.35724065866484,0.0026
2.35724065866484,0.0034
4.380645387589288,0.0057
3.8177218740150125,0.0132
0.6691560908912791,0.7375
1.7303430229107828,0.2021
1.7303430229107828,0.1975
3.548424876893421,0.0081
3.548424876893421,0.0071
3.548424876893421,0.0083
3.548424876893421,0.0082
3.548424876893421,0.0068
3.548424876893421,0.0083
3.548424876893421,0.0091
3.548424876893421,0.0079
3.0924437091380343,0.0323
3.0924437091380343,0.0402
3.0924437091380343,0.0318
1.273008061350733,0.1693
1.273008061350733,0.1763
0.4043964850411275,1.0
0.9374275937307865,0.2318
0.9374275937307865,0.2269
1.922388422316985,0.0361
1.922388422316985,0.0387
1.0087536062972595,0.4944
1.675356866598957,0.067
0.412433516702102,0.764
0.5548475819371917,0.7124
0.5548475819371917,0.7279
1.4347573835951624,0.0132
1.0666880217374075,0.5152
1.7715754279147586,0.0282
1.7715754279147586,0.0304
1.7715754279147586,0.0274
1.7715754279147586,0.0325
1.7715754279147586,0.0302
1.7715754279147586,0.0299
1.7715754279147586,0.0319
1.7715754279147586,0.03
0.9296160344030354,0.5308
0.9296160344030354,0.5258
1.543923706260012,0.0638
1.543923706260012,0.0634
1.543923706260012,0.0647
1.543923706260012,0.0685
1.543923706260012,0.0646
1.543923706260012,0.0679
0.3063887847851086,0.7104
3.316816838520357,0.2132
2.68669895427931,0.2275
1.0344939135921618,0.3264
1.0344939135921618,0.338
1.0344939135921618,0.3254
1.5335823666249289,0.3646
0.7720852682943752,0.3492
0.9533369928634817,0.3637
0.9533369928634817,0.3639
0.9533369928634817,0.3635
