algorithm,percentile of pool members,selection probability
k/n,35.40372670807454,0.2732919254658385
k/n,36.024844720496894,0.2732919254658385
k/n,36.64596273291926,0.2732919254658385
k/n,37.267080745341616,0.2732919254658385
k/n,37.88819875776397,0.2732919254658385
k/n,38.50931677018634,0.2732919254658385
k/n,39.130434782608695,0.2732919254658385
k/n,39.75155279503105,0.2732919254658385
k/n,40.37267080745342,0.2732919254658385
k/n,40.993788819875775,0.2732919254658385
k/n,41.61490683229814,0.2732919254658385
k/n,42.2360248447205,0.2732919254658385
k/n,42.857142857142854,0.2732919254658385
k/n,43.47826086956522,0.2732919254658385
k/n,44.099378881987576,0.2732919254658385
k/n,44.72049689440994,0.2732919254658385
k/n,45.3416149068323,0.2732919254658385
k/n,45.962732919254655,0.2732919254658385
k/n,46.58385093167702,0.2732919254658385
k/n,47.20496894409938,0.2732919254658385
k/n,47.82608695652174,0.2732919254658385
k/n,48.4472049689441,0.2732919254658385
k/n,49.06832298136646,0.2732919254658385
k/n,49.68944099378882,0.2732919254658385
k/n,50.31055900621118,0.2732919254658385
k/n,50.931677018633536,0.2732919254658385
k/n,51.5527950310559,0.2732919254658385
k/n,52.17391304347826,0.2732919254658385
k/n,52.79503105590062,0.2732919254658385
k/n,53.41614906832298,0.2732919254658385
k/n,54.037267080745345,0.2732919254658385
k/n,54.6583850931677,0.2732919254658385
k/n,55.27950310559007,0.2732919254658385
k/n,55.90062111801242,0.2732919254658385
k/n,56.52173913043478,0.2732919254658385
k/n,57.14285714285714,0.2732919254658385
k/n,57.7639751552795,0.2732919254658385
k/n,58.38509316770186,0.2732919254658385
k/n,59.006211180124225,0.2732919254658385
k/n,59.62732919254658,0.2732919254658385
k/n,60.24844720496895,0.2732919254658385
k/n,60.86956521739131,0.2732919254658385
k/n,61.49068322981367,0.2732919254658385
k/n,62.11180124223602,0.2732919254658385
k/n,62.732919254658384,0.2732919254658385
k/n,63.35403726708074,0.2732919254658385
k/n,63.975155279503106,0.2732919254658385
k/n,64.59627329192547,0.2732919254658385
k/n,65.21739130434783,0.2732919254658385
k/n,65.83850931677019,0.2732919254658385
k/n,66.45962732919256,0.2732919254658385
k/n,67.08074534161491,0.2732919254658385
k/n,67.70186335403726,0.2732919254658385
k/n,68.32298136645963,0.2732919254658385
k/n,68.94409937888199,0.2732919254658385
k/n,69.56521739130434,0.2732919254658385
k/n,70.1863354037267,0.2732919254658385
k/n,70.80745341614907,0.2732919254658385
k/n,71.42857142857143,0.2732919254658385
k/n,72.04968944099379,0.2732919254658385
k/n,72.67080745341616,0.2732919254658385
k/n,73.29192546583852,0.2732919254658385
k/n,73.91304347826086,0.2732919254658385
k/n,74.53416149068323,0.2732919254658385
k/n,75.15527950310559,0.2732919254658385
k/n,75.77639751552795,0.2732919254658385
k/n,76.3975155279503,0.2732919254658385
k/n,77.01863354037268,0.2732919254658385
k/n,77.63975155279503,0.2732919254658385
k/n,78.26086956521739,0.2732919254658385
k/n,78.88198757763976,0.2732919254658385
k/n,79.5031055900621,0.2732919254658385
k/n,80.12422360248446,0.2732919254658385
k/n,80.74534161490683,0.2732919254658385
k/n,81.36645962732919,0.2732919254658385
k/n,81.98757763975155,0.2732919254658385
k/n,82.6086956521739,0.2732919254658385
k/n,83.22981366459628,0.2732919254658385
k/n,83.85093167701864,0.2732919254658385
k/n,84.472049689441,0.2732919254658385
k/n,85.09316770186336,0.2732919254658385
k/n,85.71428571428571,0.2732919254658385
k/n,86.33540372670807,0.2732919254658385
k/n,86.95652173913044,0.2732919254658385
k/n,87.5776397515528,0.2732919254658385
k/n,88.19875776397515,0.2732919254658385
k/n,88.81987577639751,0.2732919254658385
k/n,89.44099378881988,0.2732919254658385
k/n,90.06211180124224,0.2732919254658385
k/n,90.6832298136646,0.2732919254658385
k/n,91.30434782608695,0.2732919254658385
k/n,91.92546583850931,0.2732919254658385
k/n,92.54658385093167,0.2732919254658385
k/n,93.16770186335404,0.2732919254658385
k/n,93.7888198757764,0.2732919254658385
k/n,94.40993788819875,0.2732919254658385
k/n,95.03105590062113,0.2732919254658385
k/n,95.65217391304348,0.2732919254658385
k/n,96.27329192546584,0.2732919254658385
k/n,96.8944099378882,0.2732919254658385
k/n,97.51552795031056,0.2732919254658385
k/n,98.13664596273291,0.2732919254658385
k/n,98.75776397515527,0.2732919254658385
k/n,99.37888198757764,0.2732919254658385
