algorithm,percentile of pool members,selection probability
Legacy,70.76023391812866,0.6963
Legacy,71.05263157894737,0.7007
Legacy,71.34502923976608,0.7034
Legacy,71.6374269005848,0.7064
Legacy,71.9298245614035,0.7069
Legacy,72.22222222222221,0.7073
Legacy,72.51461988304094,0.7085
Legacy,72.80701754385966,0.7096
Legacy,73.09941520467837,0.7101
Legacy,73.39181286549707,0.7105
Legacy,73.68421052631578,0.7124
Legacy,73.9766081871345,0.713
Legacy,74.26900584795322,0.7158
Legacy,74.56140350877193,0.7163
Legacy,74.85380116959064,0.722
Legacy,75.14619883040936,0.7229
Legacy,75.43859649122807,0.7354
Legacy,75.73099415204678,0.7366
Legacy,76.0233918128655,0.737
Legacy,76.31578947368422,0.7372
Legacy,76.60818713450293,0.7377
Legacy,76.90058479532163,0.7394
Legacy,77.19298245614034,0.7399
Legacy,77.48538011695906,0.74
Legacy,77.77777777777779,0.7403
Legacy,78.0701754385965,0.7406
Legacy,78.3625730994152,0.7412
Legacy,78.65497076023392,0.7419
Legacy,78.94736842105263,0.7424
Legacy,79.23976608187134,0.7428
Legacy,79.53216374269006,0.7449
Legacy,79.82456140350878,0.746
Legacy,80.11695906432749,0.7477
Legacy,80.4093567251462,0.7487
Legacy,80.7017543859649,0.7502
Legacy,80.99415204678363,0.7543
Legacy,81.28654970760235,0.7562
Legacy,81.57894736842105,0.759
Legacy,81.87134502923976,0.7617
Legacy,82.16374269005848,0.7649
Legacy,82.45614035087719,0.775
Legacy,82.7485380116959,0.7779
Legacy,83.04093567251462,0.7796
Legacy,83.33333333333334,0.7833
Legacy,83.62573099415205,0.7912
Legacy,83.91812865497076,0.7921
Legacy,84.21052631578947,0.7948
Legacy,84.50292397660819,0.7981
Legacy,84.7953216374269,0.7996
Legacy,85.08771929824562,0.8012
Legacy,85.38011695906432,0.8013
Legacy,85.67251461988305,0.8024
Legacy,85.96491228070175,0.8041
Legacy,86.25730994152046,0.8042
Legacy,86.54970760233918,0.8161
Legacy,86.8421052631579,0.8206
Legacy,87.13450292397661,0.8214
Legacy,87.42690058479532,0.8224
Legacy,87.71929824561403,0.8226
Legacy,88.01169590643275,0.8241
Legacy,88.30409356725146,0.8245
Legacy,88.59649122807018,0.828
Legacy,88.88888888888889,0.8295
Legacy,89.18128654970761,0.8311
Legacy,89.47368421052632,0.832
Legacy,89.76608187134502,0.8422
Legacy,90.05847953216374,0.8481
Legacy,90.35087719298247,0.8584
Legacy,90.64327485380117,0.8632
Legacy,90.93567251461988,0.8716
Legacy,91.22807017543859,0.8727
Legacy,91.52046783625731,0.874
Legacy,91.81286549707602,0.8758
Legacy,92.10526315789474,0.9147
Legacy,92.39766081871345,0.9148
Legacy,92.69005847953217,0.9181
