ratio product,selection probability
0.48038049940546973,0.0111
0.47086801426872776,0.0997
0.47086801426872776,0.1031
0.47086801426872776,0.1061
0.47086801426872776,0.1003
0.47086801426872776,0.1009
0.47086801426872776,0.0985
0.47086801426872776,0.1044
0.47086801426872776,0.1039
0.47086801426872776,0.0987
0.47086801426872776,0.0988
0.47086801426872776,0.105
0.47086801426872776,0.1008
0.47086801426872776,0.099
0.47086801426872776,0.0998
0.47086801426872776,0.1042
0.47086801426872776,0.1011
0.47086801426872776,0.1053
0.47086801426872776,0.1012
0.47086801426872776,0.0969
0.47086801426872776,0.1017
0.47086801426872776,0.1006
0.47086801426872776,0.0984
0.47086801426872776,0.1028
0.47086801426872776,0.1014
0.47086801426872776,0.1012
0.47086801426872776,0.0993
0.47086801426872776,0.0971
0.47086801426872776,0.1043
0.47086801426872776,0.1003
0.47086801426872776,0.102
0.47086801426872776,0.0973
0.47086801426872776,0.0994
0.47086801426872776,0.0928
0.47086801426872776,0.0998
0.47086801426872776,0.1066
0.47086801426872776,0.1036
0.47086801426872776,0.0997
0.47086801426872776,0.1031
0.47086801426872776,0.1055
0.47086801426872776,0.0969
0.47086801426872776,0.1046
0.47086801426872776,0.097
0.47086801426872776,0.0994
0.47086801426872776,0.1053
0.47086801426872776,0.0985
0.47086801426872776,0.0984
0.47086801426872776,0.1017
0.47086801426872776,0.1011
0.47086801426872776,0.0999
0.47086801426872776,0.0988
0.47086801426872776,0.1044
0.47086801426872776,0.1028
0.47086801426872776,0.1012
0.47086801426872776,0.1049
0.47086801426872776,0.1086
0.47086801426872776,0.0978
0.47086801426872776,0.0996
0.47086801426872776,0.1088
0.47086801426872776,0.1038
0.47086801426872776,0.1012
0.47086801426872776,0.0985
0.47086801426872776,0.1027
0.47086801426872776,0.0979
0.47086801426872776,0.0936
0.47086801426872776,0.0974
0.47086801426872776,0.1018
0.47086801426872776,0.1021
0.47086801426872776,0.1029
0.47086801426872776,0.0958
0.47086801426872776,0.1001
0.47086801426872776,0.1007
0.47086801426872776,0.1022
0.47086801426872776,0.1029
0.47086801426872776,0.1059
0.47086801426872776,0.0966
0.47086801426872776,0.1033
0.47086801426872776,0.1018
0.47086801426872776,0.0994
0.47086801426872776,0.1012
0.47086801426872776,0.0995
0.47086801426872776,0.0998
0.47086801426872776,0.1023
0.47086801426872776,0.1009
0.47086801426872776,0.0993
0.47086801426872776,0.099
0.47086801426872776,0.1023
0.47086801426872776,0.0987
0.47086801426872776,0.0998
0.47086801426872776,0.1007
0.47086801426872776,0.0998
0.47086801426872776,0.0977
0.47086801426872776,0.0963
0.47086801426872776,0.1022
0.47086801426872776,0.1014
0.47086801426872776,0.1023
0.47086801426872776,0.1012
0.47086801426872776,0.1049
0.47086801426872776,0.099
0.47086801426872776,0.0957
0.48038049940546973,0.1023
0.48038049940546973,0.0966
0.48038049940546973,0.0996
0.48038049940546973,0.1048
0.48038049940546973,0.0982
0.48038049940546973,0.0998
0.48038049940546973,0.0971
0.48038049940546973,0.0982
0.48038049940546973,0.1022
0.48038049940546973,0.104
0.48038049940546973,0.1057
0.48038049940546973,0.0925
0.48038049940546973,0.0998
0.48038049940546973,0.1036
0.48038049940546973,0.0968
0.48038049940546973,0.102
0.48038049940546973,0.1012
0.48038049940546973,0.1005
0.48038049940546973,0.1011
0.48038049940546973,0.0994
0.48038049940546973,0.0982
0.48038049940546973,0.0997
0.48038049940546973,0.1004
0.48038049940546973,0.0969
0.48038049940546973,0.1078
0.48038049940546973,0.0985
0.48038049940546973,0.0938
0.48038049940546973,0.1015
0.48038049940546973,0.0969
0.48038049940546973,0.0983
0.48038049940546973,0.1031
0.48038049940546973,0.0959
0.48038049940546973,0.0982
0.48038049940546973,0.0995
0.48038049940546973,0.0977
0.48038049940546973,0.1001
0.48038049940546973,0.0974
0.48038049940546973,0.1025
0.48038049940546973,0.1026
0.48038049940546973,0.1005
0.48038049940546973,0.0989
0.48038049940546973,0.0982
0.48038049940546973,0.1034
0.48038049940546973,0.1006
0.48038049940546973,0.0992
0.48038049940546973,0.0989
0.48038049940546973,0.0961
0.48038049940546973,0.1017
0.48038049940546973,0.101
0.48038049940546973,0.103
0.48038049940546973,0.1039
0.48038049940546973,0.103
0.48038049940546973,0.1061
0.48038049940546973,0.1093
0.48038049940546973,0.0997
0.48038049940546973,0.0973
0.48038049940546973,0.0992
0.48038049940546973,0.0974
0.48038049940546973,0.1013
0.48038049940546973,0.1001
0.48038049940546973,0.1005
0.48038049940546973,0.1014
0.48038049940546973,0.0997
0.48038049940546973,0.105
0.48038049940546973,0.0975
0.48038049940546973,0.0942
0.48038049940546973,0.099
0.48038049940546973,0.0963
0.48038049940546973,0.1
0.48038049940546973,0.105
0.48038049940546973,0.0985
0.48038049940546973,0.1037
0.48038049940546973,0.1041
0.48038049940546973,0.0992
0.48038049940546973,0.1044
0.48038049940546973,0.1006
0.48038049940546973,0.1
0.48038049940546973,0.1023
0.48038049940546973,0.1013
0.48038049940546973,0.0955
0.48038049940546973,0.0962
0.48038049940546973,0.1031
0.48038049940546973,0.0944
0.48038049940546973,0.0953
0.48038049940546973,0.0952
0.48038049940546973,0.0985
0.48038049940546973,0.1064
0.48038049940546973,0.0999
0.48038049940546973,0.0975
0.48038049940546973,0.0954
0.48038049940546973,0.1006
0.48038049940546973,0.0989
0.48038049940546973,0.1002
0.48038049940546973,0.0988
0.48038049940546973,0.0986
0.48038049940546973,0.1029
0.48038049940546973,0.1009
0.48038049940546973,0.0996
0.48038049940546973,0.0985
0.48038049940546973,0.0977
