algorithm,percentile of pool members,selection probability
Legacy,24.752475247524753,0.0136
Legacy,25.0,0.0178
Legacy,25.247524752475247,0.0189
Legacy,25.495049504950494,0.0193
Legacy,25.742574257425744,0.0209
Legacy,25.99009900990099,0.021
Legacy,26.237623762376238,0.0218
Legacy,26.48514851485149,0.0224
Legacy,26.732673267326735,0.0225
Legacy,26.980198019801982,0.0225
Legacy,27.22772277227723,0.0226
Legacy,27.475247524752476,0.0228
Legacy,27.722772277227726,0.023
Legacy,27.970297029702973,0.0232
Legacy,28.217821782178216,0.0239
Legacy,28.465346534653463,0.0243
Legacy,28.71287128712871,0.0259
Legacy,28.960396039603957,0.0264
Legacy,29.207920792079207,0.0274
Legacy,29.455445544554454,0.0281
Legacy,29.7029702970297,0.0302
Legacy,29.950495049504948,0.0317
Legacy,30.198019801980198,0.0321
Legacy,30.445544554455445,0.0328
Legacy,30.693069306930692,0.0342
Legacy,30.94059405940594,0.0344
Legacy,31.18811881188119,0.0345
Legacy,31.435643564356436,0.0347
Legacy,31.683168316831683,0.035
Legacy,31.93069306930693,0.0355
Legacy,32.17821782178218,0.0365
Legacy,32.42574257425743,0.0365
Legacy,32.67326732673268,0.0372
Legacy,32.92079207920792,0.0407
Legacy,33.16831683168317,0.0407
Legacy,33.415841584158414,0.0416
Legacy,33.663366336633665,0.0426
Legacy,33.910891089108915,0.0426
Legacy,34.15841584158416,0.0428
Legacy,34.4059405940594,0.0434
Legacy,34.65346534653465,0.0442
Legacy,34.900990099009896,0.0443
Legacy,35.148514851485146,0.0444
Legacy,35.396039603960396,0.0445
Legacy,35.64356435643564,0.0451
Legacy,35.89108910891089,0.0461
Legacy,36.13861386138614,0.0462
Legacy,36.386138613861384,0.0463
Legacy,36.633663366336634,0.0464
Legacy,36.88118811881188,0.0464
Legacy,37.12871287128713,0.0468
Legacy,37.37623762376238,0.0468
Legacy,37.62376237623762,0.0469
Legacy,37.87128712871287,0.0469
Legacy,38.11881188118812,0.0471
Legacy,38.366336633663366,0.0474
Legacy,38.613861386138616,0.0475
Legacy,38.86138613861386,0.0476
Legacy,39.10891089108911,0.0477
Legacy,39.35643564356436,0.0478
Legacy,39.603960396039604,0.0478
Legacy,39.851485148514854,0.0478
Legacy,40.099009900990104,0.0478
Legacy,40.34653465346535,0.0479
Legacy,40.5940594059406,0.0479
Legacy,40.84158415841584,0.048
Legacy,41.089108910891085,0.0482
Legacy,41.336633663366335,0.0486
Legacy,41.584158415841586,0.0487
Legacy,41.83168316831683,0.0487
Legacy,42.07920792079208,0.0487
Legacy,42.32673267326732,0.0491
Legacy,42.57425742574257,0.0492
Legacy,42.82178217821782,0.0493
Legacy,43.06930693069307,0.0494
Legacy,43.31683168316832,0.0494
Legacy,43.56435643564357,0.0496
Legacy,43.81188118811881,0.0497
Legacy,44.05940594059406,0.0497
Legacy,44.306930693069305,0.0499
Legacy,44.554455445544555,0.0502
Legacy,44.801980198019805,0.0508
Legacy,45.04950495049505,0.0513
Legacy,45.2970297029703,0.0513
Legacy,45.54455445544555,0.052
Legacy,45.79207920792079,0.0521
Legacy,46.03960396039604,0.0531
Legacy,46.28712871287129,0.0532
Legacy,46.53465346534654,0.0533
Legacy,46.78217821782179,0.0538
Legacy,47.02970297029702,0.0538
Legacy,47.277227722772274,0.0542
Legacy,47.524752475247524,0.0556
Legacy,47.77227722772277,0.0563
Legacy,48.01980198019802,0.0585
Legacy,48.26732673267327,0.0588
Legacy,48.51485148514851,0.0595
Legacy,48.76237623762376,0.0599
Legacy,49.00990099009901,0.0599
Legacy,49.257425742574256,0.06
Legacy,49.504950495049506,0.0602
Legacy,49.75247524752475,0.0603
Legacy,50.0,0.0606
Legacy,50.24752475247525,0.0606
Legacy,50.495049504950494,0.0608
Legacy,50.742574257425744,0.0608
Legacy,50.99009900990099,0.061
Legacy,51.23762376237624,0.0617
Legacy,51.48514851485149,0.0621
Legacy,51.73267326732673,0.0622
Legacy,51.98019801980198,0.0623
Legacy,52.22772277227723,0.0623
Legacy,52.475247524752476,0.0629
Legacy,52.722772277227726,0.0631
Legacy,52.97029702970298,0.0637
Legacy,53.21782178217822,0.0638
Legacy,53.46534653465347,0.0646
Legacy,53.71287128712871,0.0648
Legacy,53.960396039603964,0.0648
Legacy,54.207920792079214,0.0651
Legacy,54.45544554455446,0.0653
Legacy,54.70297029702971,0.0659
Legacy,54.95049504950495,0.0662
Legacy,55.1980198019802,0.0662
Legacy,55.44554455445545,0.0664
Legacy,55.693069306930695,0.0668
Legacy,55.940594059405946,0.0671
Legacy,56.188118811881196,0.0677
Legacy,56.43564356435643,0.0681
Legacy,56.683168316831676,0.0686
Legacy,56.930693069306926,0.0689
Legacy,57.17821782178218,0.0689
Legacy,57.42574257425742,0.0692
Legacy,57.67326732673267,0.0693
Legacy,57.920792079207914,0.0695
Legacy,58.168316831683164,0.0695
Legacy,58.415841584158414,0.0701
Legacy,58.66336633663366,0.0707
Legacy,58.91089108910891,0.0709
Legacy,59.15841584158416,0.0709
Legacy,59.4059405940594,0.071
Legacy,59.65346534653465,0.0713
Legacy,59.900990099009896,0.0713
Legacy,60.148514851485146,0.0717
Legacy,60.396039603960396,0.0718
Legacy,60.64356435643564,0.0719
Legacy,60.89108910891089,0.072
Legacy,61.13861386138614,0.072
Legacy,61.386138613861384,0.0722
Legacy,61.633663366336634,0.0723
Legacy,61.88118811881188,0.0727
Legacy,62.12871287128713,0.0729
Legacy,62.37623762376238,0.0732
Legacy,62.62376237623762,0.0734
Legacy,62.87128712871287,0.0737
Legacy,63.11881188118812,0.0741
Legacy,63.366336633663366,0.0745
Legacy,63.613861386138616,0.0753
Legacy,63.86138613861386,0.0753
Legacy,64.10891089108911,0.0759
Legacy,64.35643564356435,0.0761
Legacy,64.60396039603961,0.0761
Legacy,64.85148514851485,0.0766
Legacy,65.0990099009901,0.0772
Legacy,65.34653465346535,0.0776
Legacy,65.5940594059406,0.0778
Legacy,65.84158415841584,0.0782
Legacy,66.0891089108911,0.0787
Legacy,66.33663366336634,0.0809
Legacy,66.58415841584159,0.0819
Legacy,66.83168316831683,0.083
Legacy,67.07920792079209,0.084
Legacy,67.32673267326733,0.0847
Legacy,67.57425742574257,0.0852
Legacy,67.82178217821783,0.0864
Legacy,68.06930693069307,0.0876
Legacy,68.31683168316832,0.0887
Legacy,68.56435643564357,0.0889
Legacy,68.8118811881188,0.0891
Legacy,69.05940594059405,0.0907
Legacy,69.3069306930693,0.0908
Legacy,69.55445544554455,0.0909
Legacy,69.80198019801979,0.0911
Legacy,70.04950495049505,0.0915
Legacy,70.29702970297029,0.0922
Legacy,70.54455445544554,0.0933
Legacy,70.79207920792079,0.0939
Legacy,71.03960396039604,0.094
Legacy,71.28712871287128,0.0944
Legacy,71.53465346534654,0.0945
Legacy,71.78217821782178,0.0949
Legacy,72.02970297029702,0.0953
Legacy,72.27722772277228,0.0954
Legacy,72.52475247524752,0.096
Legacy,72.77227722772277,0.0967
Legacy,73.01980198019803,0.0977
Legacy,73.26732673267327,0.0983
Legacy,73.51485148514851,0.1043
Legacy,73.76237623762376,0.1047
Legacy,74.00990099009901,0.1074
Legacy,74.25742574257426,0.1087
Legacy,74.5049504950495,0.1097
Legacy,74.75247524752476,0.1135
Legacy,75.0,0.1169
Legacy,75.24752475247524,0.1237
Legacy,75.4950495049505,0.1257
Legacy,75.74257425742574,0.1263
Legacy,75.99009900990099,0.1316
Legacy,76.23762376237624,0.1369
Legacy,76.48514851485149,0.1394
Legacy,76.73267326732673,0.1445
Legacy,76.98019801980197,0.1478
Legacy,77.22772277227723,0.1486
Legacy,77.47524752475248,0.1486
Legacy,77.72277227722772,0.1496
Legacy,77.97029702970298,0.1497
Legacy,78.21782178217822,0.1498
Legacy,78.46534653465346,0.1506
Legacy,78.71287128712872,0.1506
Legacy,78.96039603960396,0.1512
Legacy,79.20792079207921,0.1512
Legacy,79.45544554455446,0.1513
Legacy,79.70297029702971,0.1516
Legacy,79.95049504950495,0.1519
Legacy,80.19801980198021,0.1526
Legacy,80.44554455445545,0.153
Legacy,80.6930693069307,0.1539
Legacy,80.94059405940595,0.1546
Legacy,81.1881188118812,0.1576
Legacy,81.43564356435643,0.158
Legacy,81.68316831683168,0.1635
Legacy,81.93069306930693,0.1679
Legacy,82.17821782178217,0.17
Legacy,82.42574257425743,0.1703
Legacy,82.67326732673267,0.1708
Legacy,82.92079207920791,0.1798
Legacy,83.16831683168317,0.1798
Legacy,83.41584158415841,0.1802
Legacy,83.66336633663366,0.1812
Legacy,83.9108910891089,0.1817
Legacy,84.15841584158416,0.182
Legacy,84.4059405940594,0.1831
Legacy,84.65346534653465,0.1852
Legacy,84.9009900990099,0.2019
Legacy,85.14851485148515,0.214
Legacy,85.39603960396039,0.2161
Legacy,85.64356435643565,0.2163
Legacy,85.89108910891089,0.2167
Legacy,86.13861386138613,0.2168
Legacy,86.38613861386139,0.2174
Legacy,86.63366336633663,0.2174
Legacy,86.88118811881188,0.2176
Legacy,87.12871287128714,0.2179
Legacy,87.37623762376238,0.2196
Legacy,87.62376237623762,0.2203
Legacy,87.87128712871286,0.2205
Legacy,88.11881188118812,0.2215
Legacy,88.36633663366337,0.2216
Legacy,88.61386138613861,0.2217
