algorithm,percentile of pool members,selection probability
Legacy,36.858974358974365,0.0509
Legacy,37.17948717948718,0.0518
Legacy,37.5,0.0537
Legacy,37.82051282051282,0.0539
Legacy,38.141025641025635,0.0546
Legacy,38.46153846153847,0.0557
Legacy,38.782051282051285,0.0559
Legacy,39.1025641025641,0.0559
Legacy,39.42307692307692,0.0565
Legacy,39.743589743589745,0.0566
Legacy,40.06410256410257,0.0566
Legacy,40.38461538461539,0.0574
Legacy,40.705128205128204,0.0577
Legacy,41.02564102564102,0.0583
Legacy,41.34615384615385,0.0583
Legacy,41.66666666666667,0.0584
Legacy,41.98717948717949,0.0586
Legacy,42.30769230769231,0.0587
Legacy,42.628205128205124,0.0591
Legacy,42.94871794871795,0.0592
Legacy,43.269230769230774,0.0592
Legacy,43.58974358974359,0.0592
Legacy,43.91025641025641,0.0596
Legacy,44.230769230769226,0.0604
Legacy,44.55128205128205,0.0611
Legacy,44.871794871794876,0.0615
Legacy,45.19230769230769,0.0617
Legacy,45.51282051282051,0.062
Legacy,45.83333333333333,0.0622
Legacy,46.15384615384615,0.0626
Legacy,46.47435897435898,0.0637
Legacy,46.794871794871796,0.0666
Legacy,47.11538461538461,0.0673
Legacy,47.43589743589743,0.0675
Legacy,47.756410256410255,0.0681
Legacy,48.07692307692308,0.0687
Legacy,48.3974358974359,0.0688
Legacy,48.717948717948715,0.0705
Legacy,49.03846153846153,0.0707
Legacy,49.358974358974365,0.0747
Legacy,49.67948717948718,0.0747
Legacy,50.0,0.0748
Legacy,50.32051282051282,0.0748
Legacy,50.641025641025635,0.0749
Legacy,50.96153846153846,0.0754
Legacy,51.28205128205128,0.0754
Legacy,51.60256410256411,0.0765
Legacy,51.92307692307693,0.0766
Legacy,52.243589743589745,0.0774
Legacy,52.56410256410257,0.0804
Legacy,52.88461538461539,0.0827
Legacy,53.205128205128204,0.0832
Legacy,53.52564102564102,0.0837
Legacy,53.84615384615385,0.0849
Legacy,54.166666666666664,0.0851
Legacy,54.48717948717948,0.0851
Legacy,54.807692307692314,0.0858
Legacy,55.12820512820513,0.0869
Legacy,55.44871794871795,0.0876
Legacy,55.769230769230774,0.0876
Legacy,56.08974358974359,0.0909
Legacy,56.41025641025641,0.091
Legacy,56.730769230769226,0.091
Legacy,57.05128205128205,0.0918
Legacy,57.37179487179487,0.0927
Legacy,57.692307692307686,0.0928
Legacy,58.01282051282052,0.0943
Legacy,58.333333333333336,0.0948
Legacy,58.65384615384615,0.0949
Legacy,58.97435897435898,0.095
Legacy,59.294871794871796,0.0956
Legacy,59.61538461538461,0.0969
Legacy,59.93589743589743,0.097
Legacy,60.256410256410255,0.0973
Legacy,60.57692307692307,0.0979
Legacy,60.89743589743589,0.0981
Legacy,61.21794871794872,0.0993
Legacy,61.53846153846154,0.0994
Legacy,61.858974358974365,0.0994
Legacy,62.17948717948718,0.0998
Legacy,62.5,0.1004
Legacy,62.82051282051282,0.1014
Legacy,63.141025641025635,0.1016
Legacy,63.46153846153846,0.1019
Legacy,63.78205128205128,0.1059
Legacy,64.1025641025641,0.106
Legacy,64.42307692307693,0.1069
Legacy,64.74358974358975,0.107
Legacy,65.06410256410257,0.1072
Legacy,65.38461538461539,0.1097
Legacy,65.7051282051282,0.1104
Legacy,66.02564102564102,0.1119
Legacy,66.34615384615384,0.1121
Legacy,66.66666666666666,0.1127
Legacy,66.98717948717949,0.1138
Legacy,67.3076923076923,0.1171
Legacy,67.62820512820514,0.1173
Legacy,67.94871794871796,0.1186
Legacy,68.26923076923077,0.1193
Legacy,68.58974358974359,0.1203
Legacy,68.91025641025641,0.121
Legacy,69.23076923076923,0.1233
Legacy,69.55128205128204,0.1242
Legacy,69.87179487179486,0.1246
Legacy,70.1923076923077,0.1247
Legacy,70.51282051282051,0.1265
Legacy,70.83333333333334,0.1268
Legacy,71.15384615384616,0.1275
Legacy,71.47435897435898,0.1295
Legacy,71.7948717948718,0.1304
Legacy,72.11538461538461,0.1315
Legacy,72.43589743589743,0.1347
Legacy,72.75641025641025,0.1442
Legacy,73.07692307692307,0.1444
Legacy,73.3974358974359,0.1473
Legacy,73.71794871794873,0.1488
Legacy,74.03846153846155,0.1496
Legacy,74.35897435897436,0.1507
Legacy,74.67948717948718,0.1508
Legacy,75.0,0.1515
Legacy,75.32051282051282,0.1531
Legacy,75.64102564102564,0.1562
Legacy,75.96153846153845,0.1597
Legacy,76.28205128205127,0.16
Legacy,76.6025641025641,0.1605
Legacy,76.92307692307693,0.1605
Legacy,77.24358974358975,0.1624
Legacy,77.56410256410257,0.1632
Legacy,77.88461538461539,0.1644
Legacy,78.2051282051282,0.1654
Legacy,78.52564102564102,0.1663
Legacy,78.84615384615384,0.1668
Legacy,79.16666666666666,0.1716
Legacy,79.48717948717949,0.172
Legacy,79.8076923076923,0.1733
Legacy,80.12820512820514,0.1739
Legacy,80.44871794871796,0.1753
Legacy,80.76923076923077,0.1832
Legacy,81.08974358974359,0.185
Legacy,81.41025641025641,0.1854
Legacy,81.73076923076923,0.1866
Legacy,82.05128205128204,0.1875
Legacy,82.37179487179486,0.1877
Legacy,82.6923076923077,0.1882
Legacy,83.01282051282051,0.1884
Legacy,83.33333333333334,0.1893
Legacy,83.65384615384616,0.1912
Legacy,83.97435897435898,0.193
Legacy,84.2948717948718,0.1966
Legacy,84.61538461538461,0.1998
Legacy,84.93589743589743,0.2
Legacy,85.25641025641025,0.2003
Legacy,85.57692307692307,0.201
Legacy,85.8974358974359,0.2123
Legacy,86.21794871794873,0.2133
Legacy,86.53846153846155,0.2141
Legacy,86.85897435897436,0.218
Legacy,87.17948717948718,0.22
Legacy,87.5,0.2202
Legacy,87.82051282051282,0.221
Legacy,88.14102564102564,0.2239
Legacy,88.46153846153845,0.2257
Legacy,88.78205128205127,0.2265
Legacy,89.1025641025641,0.2287
Legacy,89.42307692307693,0.2313
Legacy,89.74358974358975,0.2339
Legacy,90.06410256410257,0.2346
Legacy,90.38461538461539,0.2349
Legacy,90.7051282051282,0.2383
Legacy,91.02564102564102,0.24
Legacy,91.34615384615384,0.2409
Legacy,91.66666666666666,0.243
Legacy,91.98717948717949,0.254
Legacy,92.3076923076923,0.256
Legacy,92.62820512820514,0.2712
Legacy,92.94871794871796,0.2767
Legacy,93.26923076923077,0.2802
Legacy,93.58974358974359,0.2812
Legacy,93.91025641025641,0.2824
Legacy,94.23076923076923,0.2829
Legacy,94.55128205128204,0.285
Legacy,94.87179487179486,0.2992
Legacy,95.1923076923077,0.2994
Legacy,95.51282051282051,0.3004
Legacy,95.83333333333334,0.3071
Legacy,96.15384615384616,0.3166
Legacy,96.47435897435898,0.3167
Legacy,96.7948717948718,0.3464
Legacy,97.11538461538461,0.3822
Legacy,97.43589743589743,0.7416
Legacy,97.75641025641025,0.7461
Legacy,98.07692307692307,0.7478
Legacy,98.3974358974359,0.7479
Legacy,98.71794871794873,0.7493
Legacy,99.03846153846155,0.7544
Legacy,99.35897435897436,0.7549
Legacy,99.67948717948718,0.758
LexiMin,0.0,0.06707310670059112
LexiMin,0.3205128205128205,0.06707317112453548
LexiMin,0.641025641025641,0.06707317112453554
LexiMin,0.9615384615384616,0.06707317112453555
LexiMin,1.282051282051282,0.06707317112453558
LexiMin,1.6025641025641024,0.06707317112453558
LexiMin,1.9230769230769231,0.06707317112453569
LexiMin,2.2435897435897436,0.06707317112453569
LexiMin,2.564102564102564,0.0670731711245357
LexiMin,2.8846153846153846,0.0670731711245357
LexiMin,3.205128205128205,0.06707317112453572
LexiMin,3.5256410256410255,0.06707317112453573
LexiMin,3.8461538461538463,0.06707317112453577
LexiMin,4.166666666666666,0.06707317112453577
LexiMin,4.487179487179487,0.06707317112453579
LexiMin,4.807692307692308,0.0670731711245358
LexiMin,5.128205128205128,0.06707317112453581
LexiMin,5.448717948717949,0.06707317112453581
LexiMin,5.769230769230769,0.06707317112453584
LexiMin,6.089743589743589,0.06707317112453585
LexiMin,6.41025641025641,0.06707317112453585
LexiMin,6.730769230769231,0.06707317112453587
LexiMin,7.051282051282051,0.06707317112453588
LexiMin,7.371794871794872,0.06707317112453588
LexiMin,7.6923076923076925,0.06707317112453591
LexiMin,8.012820512820513,0.06707317112453592
LexiMin,8.333333333333332,0.06707317112453594
LexiMin,8.653846153846153,0.06707317112453594
LexiMin,8.974358974358974,0.06707317112453594
LexiMin,9.294871794871796,0.06707317112453594
LexiMin,9.615384615384617,0.06707317112453595
LexiMin,9.935897435897436,0.06707317112453598
LexiMin,10.256410256410255,0.067073171124536
LexiMin,10.576923076923077,0.06707317112453601
LexiMin,10.897435897435898,0.06707317112453601
LexiMin,11.217948717948719,0.06707317112453601
LexiMin,11.538461538461538,0.06707317112453602
LexiMin,11.858974358974358,0.06707317112453602
LexiMin,12.179487179487179,0.06707317112453606
LexiMin,12.5,0.06707317112453606
LexiMin,12.82051282051282,0.06707317112453606
LexiMin,13.141025641025642,0.06707317112453609
LexiMin,13.461538461538462,0.06707317112453612
LexiMin,13.782051282051283,0.06707317112453612
LexiMin,14.102564102564102,0.06707317112453612
LexiMin,14.423076923076922,0.06707317112453613
LexiMin,14.743589743589745,0.06707317112453616
LexiMin,15.064102564102564,0.06707317112453617
LexiMin,15.384615384615385,0.06707317112453617
LexiMin,15.705128205128204,0.06707317112453617
LexiMin,16.025641025641026,0.06707317112453619
LexiMin,16.346153846153847,0.06707317112453619
LexiMin,16.666666666666664,0.0670731711245362
LexiMin,16.98717948717949,0.0670731711245362
LexiMin,17.307692307692307,0.0670731711245362
LexiMin,17.628205128205128,0.0670731711245362
LexiMin,17.94871794871795,0.0670731711245362
LexiMin,18.269230769230766,0.0670731711245362
LexiMin,18.58974358974359,0.0670731711245362
LexiMin,18.91025641025641,0.06707317112453622
LexiMin,19.230769230769234,0.06707317112453622
LexiMin,19.55128205128205,0.06707317112453622
LexiMin,19.871794871794872,0.06707317112453622
LexiMin,20.192307692307693,0.06707317112453622
LexiMin,20.51282051282051,0.06707317112453622
LexiMin,20.833333333333336,0.06707317112453622
LexiMin,21.153846153846153,0.06707317112453623
LexiMin,21.474358974358974,0.06707317112453623
LexiMin,21.794871794871796,0.06707317112453623
LexiMin,22.115384615384613,0.06707317112453623
LexiMin,22.435897435897438,0.06707317112453623
LexiMin,22.756410256410255,0.06707317112453623
