algorithm,percentile of pool members,selection probability
Legacy,33.95638629283489,0.0232
Legacy,34.26791277258567,0.0235
Legacy,34.57943925233645,0.0237
Legacy,34.890965732087224,0.0239
Legacy,35.202492211838006,0.0243
Legacy,35.51401869158878,0.0245
Legacy,35.82554517133956,0.0247
Legacy,36.13707165109034,0.025
Legacy,36.44859813084112,0.0258
Legacy,36.7601246105919,0.026
Legacy,37.07165109034268,0.0263
Legacy,37.38317757009346,0.0268
Legacy,37.69470404984423,0.0271
Legacy,38.006230529595015,0.0271
Legacy,38.31775700934579,0.0272
Legacy,38.62928348909657,0.0277
Legacy,38.940809968847354,0.0279
Legacy,39.25233644859813,0.028
Legacy,39.56386292834891,0.0281
Legacy,39.875389408099686,0.0282
Legacy,40.18691588785047,0.0282
Legacy,40.49844236760124,0.0284
Legacy,40.809968847352025,0.0289
Legacy,41.1214953271028,0.029
Legacy,41.43302180685358,0.0294
Legacy,41.74454828660436,0.0297
Legacy,42.05607476635514,0.0301
Legacy,42.36760124610592,0.0302
Legacy,42.679127725856695,0.0303
Legacy,42.99065420560748,0.0312
Legacy,43.30218068535825,0.0317
Legacy,43.613707165109034,0.0318
Legacy,43.925233644859816,0.0319
Legacy,44.23676012461059,0.0325
Legacy,44.54828660436137,0.0331
Legacy,44.85981308411215,0.0332
Legacy,45.17133956386293,0.0335
Legacy,45.482866043613704,0.0339
Legacy,45.794392523364486,0.0342
Legacy,46.10591900311526,0.0344
Legacy,46.41744548286604,0.0345
Legacy,46.728971962616825,0.0346
Legacy,47.0404984423676,0.036
Legacy,47.35202492211838,0.0375
Legacy,47.66355140186916,0.038
Legacy,47.97507788161994,0.0386
Legacy,48.28660436137071,0.039
Legacy,48.598130841121495,0.0392
Legacy,48.90965732087228,0.04
Legacy,49.22118380062305,0.0407
Legacy,49.532710280373834,0.0421
Legacy,49.84423676012461,0.0426
Legacy,50.155763239875384,0.0427
Legacy,50.467289719626166,0.0441
Legacy,50.77881619937694,0.0453
Legacy,51.09034267912772,0.0475
Legacy,51.4018691588785,0.0478
Legacy,51.71339563862928,0.0484
Legacy,52.024922118380054,0.0491
Legacy,52.336448598130836,0.0492
Legacy,52.64797507788161,0.0492
Legacy,52.95950155763239,0.0512
Legacy,53.271028037383175,0.0517
Legacy,53.58255451713395,0.0527
Legacy,53.89408099688473,0.0528
Legacy,54.20560747663551,0.0537
Legacy,54.51713395638629,0.0538
Legacy,54.82866043613706,0.0541
Legacy,55.140186915887845,0.0548
Legacy,55.45171339563863,0.0552
Legacy,55.7632398753894,0.0553
Legacy,56.074766355140184,0.0555
Legacy,56.38629283489096,0.0557
Legacy,56.69781931464174,0.0557
Legacy,57.009345794392516,0.0559
Legacy,57.3208722741433,0.0564
Legacy,57.63239875389408,0.06
Legacy,57.943925233644855,0.0609
Legacy,58.25545171339564,0.0612
Legacy,58.56697819314641,0.0622
Legacy,58.87850467289719,0.0623
Legacy,59.19003115264797,0.0623
Legacy,59.50155763239875,0.0652
Legacy,59.813084112149525,0.0652
Legacy,60.12461059190031,0.0669
Legacy,60.43613707165109,0.0674
Legacy,60.747663551401864,0.068
Legacy,61.059190031152646,0.0688
Legacy,61.37071651090342,0.0739
Legacy,61.6822429906542,0.0753
Legacy,61.99376947040498,0.0755
Legacy,62.30529595015576,0.0767
Legacy,62.616822429906534,0.0825
Legacy,62.928348909657316,0.0833
Legacy,63.2398753894081,0.0851
Legacy,63.55140186915887,0.0852
Legacy,63.862928348909655,0.0878
Legacy,64.17445482866043,0.0878
Legacy,64.48598130841121,0.0884
Legacy,64.797507788162,0.0889
Legacy,65.10903426791276,0.0892
Legacy,65.42056074766354,0.0894
Legacy,65.73208722741433,0.0907
Legacy,66.04361370716511,0.0912
Legacy,66.35514018691589,0.0918
Legacy,66.66666666666666,0.0923
Legacy,66.97819314641744,0.1012
Legacy,67.28971962616822,0.1027
Legacy,67.601246105919,0.1071
Legacy,67.91277258566979,0.1088
